index,add_date,rank,title,cm_track_id,artist_names,cm_artist_ids,current_plays,time_on_chart,velocity,primary_artist,secondary_artist,primary_artist ID,secondfary_artist ID,Prim: Jan. 1-Listeners,Prim: Jan. 12-Listeners,collab,peak daily rank,peak daily play count,listener difference,listener diff. %,career status,Prim: Jan. 1-Followers,Prim: Jan 12-Followers,current engagement,early engagement,follower difference,follower diff. %,engagement diff,engagement diff %
34,2021-01-07T00:00:00.000Z,35,Hello (feat. A Boogie Wit da Hoodie),30283164,"['Pop Smoke', 'A Boogie Wit da Hoodie']","[1401297, 195737]",406233,128,0.0,Pop Smoke,A Boogie Wit da Hoodie,1401297,195737.0,38742767,39465155,True,35,431110,722388,1.8645751347599926,superstar,3404319,3228000,0.08179367343166395,0.08786979515428002,-176319,-5.179273740210597,-0.006076121722616068,-6.914915087656384
35,2021-01-07T00:00:00.000Z,36,Cry Baby (feat. DaBaby),32021354,"['Megan Thee Stallion', 'DaBaby']","[788785, 398544]",404396,38,2.0,Megan Thee Stallion,DaBaby,788785,398544.0,32152983,32370893,True,36,449907,217910,0.6777287196027815,comfortable,3014129,2859279,0.08832870319641785,0.09374337056067239,-154850,-5.137470891259134,-0.005414667364254541,-5.776053636507631
36,2021-01-07T00:00:00.000Z,37,my ex's best friend (with blackbear),30778891,"['Machine Gun Kelly', 'blackbear']","[3991, 169796]",403636,108,0.571428571428571,Machine Gun Kelly,blackbear,3991,169796.0,17699405,17397372,True,37,417799,-302033,-1.706458493943723,comfortable,2938354,2891581,0.16620791921906367,0.16601428127103707,-46773,-1.5918095641301218,0.00019363794802659817,0.11663933159488994
37,2021-01-07T00:00:00.000Z,38,Forever After All,31745083,['Luke Combs'],[207759],403330,80,-0.285714285714286,Luke Combs,,207759,,9774596,10034112,False,38,403330,259516,2.6550048718126047,comfortable,4122633,4054114,0.40403316207752116,0.42177016830158504,-68519,-1.6620203641701796,-0.017737006224063878,-4.205372394043076
38,2021-01-07T00:00:00.000Z,39,Lucid Dreams,19173542,['Juice WRLD'],[921966],401389,762,-0.142857142857143,Juice WRLD,,921966,,38522755,37776642,False,39,430482,-746113,-1.9368111133276942,superstar,14758935,14505893,0.383991065166671,0.38312252070237446,-253042,-1.7145004026374533,0.0008685444642965168,0.22670149034941184
39,2021-01-07T00:00:00.000Z,40,pov,31826434,['Ariana Grande'],[3963],400375,72,-0.428571428571429,Ariana Grande,,3963,,82104441,78702058,False,40,401524,-3402383,-4.143969508299801,superstar,55807542,55189850,0.7012504044049267,0.6797140485981751,-617692,-1.1068253104571422,0.021536355806751617,3.1684435316833084
40,2021-01-07T00:00:00.000Z,41,Lonely (with benny blanco),31666678,"['Justin Bieber', 'benny blanco']","[3479, 1118101]",391945,87,2.0,Justin Bieber,benny blanco,3479,1118101.0,78265852,76291592,True,41,416049,-1974260,-2.5225049616785618,superstar,41222799,40838017,0.5352885675789804,0.5267022327949614,-384782,-0.9334203628433867,0.008586334784018934,1.6302066422721024
41,2021-01-07T00:00:00.000Z,42,The Box,27599255,['Roddy Ricch'],[839964],387803,401,-1.85714285714286,Roddy Ricch,,839964,,23932440,23587642,False,42,414762,-344798,-1.4407139430831124,comfortable,5227857,5101900,0.21629546522708798,0.21844229004648083,-125957,-2.409342872232351,-0.0021468248193928507,-0.982788094254113
42,2021-01-07T00:00:00.000Z,43,SO DONE,31745264,['The Kid LAROI'],[1333786],384231,66,0.571428571428571,The Kid LAROI,,1333786,,22289728,25402971,False,43,393049,3113243,13.967164606046337,comfortable,1098854,1010441,0.03977648913585738,0.04929867246473353,-88413,-8.045927848467585,-0.009522183328876152,-19.31529360286116
43,2021-01-07T00:00:00.000Z,44,Heat Waves,29681793,['Glass Animals'],[3656],383260,43,1.42857142857143,Glass Animals,,3656,,9529001,10297856,False,44,392954,768855,8.06857927709316,indie,1440921,1421048,0.13799454954507034,0.15121427734134985,-19873,-1.3791873392087421,-0.013219727796279501,-8.742380698905434
44,2021-01-07T00:00:00.000Z,45,Robbery,22424919,['Juice WRLD'],[921966],379847,675,0.142857142857143,Juice WRLD,,921966,,38522755,37776642,False,45,403954,-746113,-1.9368111133276942,superstar,14758935,14505893,0.383991065166671,0.38312252070237446,-253042,-1.7145004026374533,0.0008685444642965168,0.22670149034941184
45,2021-01-07T00:00:00.000Z,46,Circles,25021708,['Post Malone'],[135326],373492,482,-3.14285714285714,Post Malone,,135326,,41429625,41985593,False,46,385118,555968,1.341957596768013,superstar,30435655,30228340,0.7199693475807285,0.7346350588497965,-207315,-0.6811583322258056,-0.014665711269068016,-1.9963260795135245
46,2021-01-07T00:00:00.000Z,47,Put Your Records On,31381561,['Ritt Momney'],[531390],368998,117,-1.14285714285714,Ritt Momney,,531390,,12324801,12623878,False,47,371319,299077,2.42662741572866,comfortable,76057,74201,0.0058778293009485675,0.00617105298495286,-1856,-2.440275056865246,-0.0002932236840042929,-4.751598871688067
