,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm artist id,spotify followers-jan 5,spotify followers-dec 6
3750,51,2020-11-29T00:00:00.000Z,How You Like That,blackpinkofficial,KRA402000111,-0.142857142857143,29924495.0,158,"['2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z']",,,
3751,52,2020-11-29T00:00:00.000Z,Lai Lai Lai,Realkdmusic,QZFYX1995369,,24361118.0,156,"['2019-06-10T00:00:00.000Z', '2020-09-02T00:00:00.000Z', '2019-06-10T00:00:00.000Z']",1648768.0,577.0,771.0
3753,54,2020-11-29T00:00:00.000Z,Steven Universe,L.Dre,QZFZ32084911,0.714285714285714,28637630.0,190,['2020-02-21T00:00:00.000Z'],751357.0,28649.0,93694.0
3755,56,2020-11-29T00:00:00.000Z,Said Sum - Remix,Moneybagg Yo,USUM72017281,-0.142857142857143,31380700.0,51,"['2020-09-17T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-17T00:00:00.000Z']",601328.0,1106889.0,1703878.0
3756,57,2020-11-29T00:00:00.000Z,Make Some TikTok,TikTok,ITV951900027,,24008840.0,229,['2019-05-22T00:00:00.000Z'],,,
3757,58,2020-11-29T00:00:00.000Z,Opaul,Freddie Dredd,USDY41838659,,19239692.0,20,"['2018-04-26T00:00:00.000Z', '2018-04-26T00:00:00.000Z']",689472.0,,
3758,59,2020-11-29T00:00:00.000Z,Papi Chulo,Octavian & Skepta,QM4TX2039607,0.428571428571429,28731720.0,73,['2020-03-13T00:00:00.000Z'],,,
3760,61,2020-11-29T00:00:00.000Z,"Boom, Boom, Boom, Boom!!",Vengaboys,NLC529811150,-4.57142857142857,13505906.0,103,"['2014-11-17T00:00:00.000Z', '2000-01-01T00:00:00.000Z', '2016-10-28T00:00:00.000Z', '2013-10-13T00:00:00.000Z', '2013-02-08T00:00:00.000Z', '1998-01-01T00:00:00.000Z', '2014-06-27T00:00:00.000Z', '2000-01-01T00:00:00.000Z', '2017-03-17T00:00:00.000Z', '2013-03-18T00:00:00.000Z', '2013-09-23T00:00:00.000Z', '1999-06-04T00:00:00.000Z', '1999-06-04T00:00:00.000Z']",126.0,206957.0,253259.0
3761,62,2020-11-29T00:00:00.000Z,the remedy for a broken heart (why am I so in love),XXXTENTACION,USUG11800488,,18766734.0,190,"['2018-03-16T00:00:00.000Z', '2018-03-16T00:00:00.000Z', '2019-09-06T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-12-11T00:00:00.000Z']",74419.0,17126368.0,23291303.0
3762,63,2020-11-29T00:00:00.000Z,Hit the Quan (Original Version),🔥GO SUBSCRIBE 💯,QM33K1500006,-5.28571428571429,13770116.0,54,"['2015-10-09T00:00:00.000Z', '2015-10-09T00:00:00.000Z', '2016-08-05T00:00:00.000Z', '2016-03-25T00:00:00.000Z', '2016-05-16T00:00:00.000Z']",,,
3763,64,2020-11-29T00:00:00.000Z,Blow Your Mind (Mwahchallenge),Dua Lipa,GBAHT1600302,-6.85714285714286,12453530.0,83,"['2016-08-26T00:00:00.000Z', '2017-06-02T00:00:00.000Z', '2017-06-02T00:00:00.000Z', '2017-06-02T00:00:00.000Z', '2018-10-19T00:00:00.000Z', '2020-04-24T00:00:00.000Z']",5381.0,14838486.0,21113084.0
3764,65,2020-11-29T00:00:00.000Z,Believer,Imagine Dragons,USUM71700626,,15939926.0,134,"['2017-01-31T00:00:00.000Z', '2017-08-04T00:00:00.000Z', '2018-08-03T00:00:00.000Z', '2017-11-10T00:00:00.000Z', '2017-06-09T00:00:00.000Z', '2017-12-08T00:00:00.000Z', '2018-02-21T00:00:00.000Z', '2017-06-02T00:00:00.000Z', '2017-06-02T00:00:00.000Z', '2017-03-31T00:00:00.000Z', '2018-03-16T00:00:00.000Z', '2017-06-23T00:00:00.000Z', '2018-07-18T00:00:00.000Z', '2019-08-23T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2019-10-11T00:00:00.000Z', '2019-10-11T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-02-07T00:00:00.000Z', '2020-03-13T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-27T00:00:00.000Z', '2020-03-27T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-04-17T00:00:00.000Z', '2020-04-17T00:00:00.000Z', '2020-04-24T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-06-19T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-22T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-17T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-08T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-30T00:00:00.000Z', '2020-10-03T00:00:00.000Z', '2020-10-03T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-12T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-20T00:00:00.000Z', '2020-12-25T00:00:00.000Z']",4132.0,24381910.0,31162197.0
3765,66,2020-11-29T00:00:00.000Z,bad guy,Billie Eilish,USUM71900764,,22669299.0,71,"['2019-03-29T00:00:00.000Z', '2019-07-05T00:00:00.000Z', '2019-07-19T00:00:00.000Z', '2019-07-26T00:00:00.000Z', '2019-06-14T00:00:00.000Z', '2019-08-02T00:00:00.000Z', '2019-06-14T00:00:00.000Z', '2019-10-24T00:00:00.000Z', '2019-09-27T00:00:00.000Z', '2019-06-14T00:00:00.000Z', '2019-07-19T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-12-20T00:00:00.000Z', '2019-12-06T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-10-23T00:00:00.000Z']",5596.0,18332312.0,35817144.0
3767,68,2020-11-29T00:00:00.000Z,A Thousand Years,christina perri,USAT21102141,,15085781.0,204,"['2016-11-18T00:00:00.000Z', '2014-02-07T00:00:00.000Z', '2013-08-02T00:00:00.000Z', '2014-01-28T00:00:00.000Z', '2013-06-21T00:00:00.000Z', '2017-09-22T00:00:00.000Z', '2014-03-17T00:00:00.000Z', '2011-11-04T00:00:00.000Z', '2011-11-04T00:00:00.000Z', '2011-10-18T00:00:00.000Z', '2011-11-04T00:00:00.000Z', '2019-02-22T00:00:00.000Z', '2018-11-23T00:00:00.000Z', '2019-03-08T00:00:00.000Z', '2019-11-01T00:00:00.000Z', '2019-11-08T00:00:00.000Z', '2019-11-15T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-10-02T00:00:00.000Z']",3684.0,2289536.0,2767212.0
3768,69,2020-11-29T00:00:00.000Z,What You Know Bout Love,POP SMOKE 💫,USUM72013339,-7.14285714285714,29992521.0,74,"['2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-20T00:00:00.000Z', '2020-07-20T00:00:00.000Z', '2020-09-22T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",,,
3769,70,2020-11-29T00:00:00.000Z,Tình Yêu Khủng Long,Fay,FR59R2026340,-0.285714285714286,31516477.0,58,['2020-04-10T00:00:00.000Z'],,,
3770,71,2020-11-29T00:00:00.000Z,Aesthetic,Xilo,QZFZ22071847,1.57142857142857,28796568.0,192,['2020-02-14T00:00:00.000Z'],3377623.0,216.0,857.0
3771,72,2020-11-29T00:00:00.000Z,Stranger,CHUNNYT,USA2P1660778,,14806992.0,160,['2016-07-01T00:00:00.000Z'],3573017.0,0.0,0.0
3772,73,2020-11-29T00:00:00.000Z,In The End - Mellen Gi Remix,Tommee Profitt,TCADO1871408,,18965480.0,128,"['2018-04-06T00:00:00.000Z', '2019-03-22T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-11-20T00:00:00.000Z']",491800.0,40730.0,86173.0
3773,74,2020-11-29T00:00:00.000Z,Overwhelmed,Royal & the Serpent,USAT22002973,,29921048.0,143,"['2020-06-26T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z']",732175.0,3474.0,31325.0
3774,75,2020-11-29T00:00:00.000Z,Classical Music,Classical Music,TCAAU1178628,-4.28571428571429,20877140.0,231,['2011-02-03T00:00:00.000Z'],,,
3776,77,2020-11-29T00:00:00.000Z,Kimi No Toriko,Rizky Ayuba,TCAEX2023943,,29619218.0,132,['2020-05-03T00:00:00.000Z'],3561309.0,12.0,8932.0
3777,78,2020-11-29T00:00:00.000Z,Elastic,Joey Purp,QZEGJ1800004,-1.0,20533213.0,64,"['2018-09-13T00:00:00.000Z', '2018-09-04T00:00:00.000Z', '2018-09-07T00:00:00.000Z']",110260.0,74651.0,96932.0
3778,79,2020-11-29T00:00:00.000Z,BICHOTA,KAROL G,USUM72019324,-0.571428571428571,31751726.0,43,"['2020-10-23T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-24T00:00:00.000Z', '2020-11-24T00:00:00.000Z', '2020-11-24T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-21T00:00:00.000Z']",206809.0,7779068.0,13261871.0
3780,81,2020-11-29T00:00:00.000Z,Lonely,Justin Bieber,USUM72019037,-6.0,31667714.0,67,"['2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z']",3479.0,32168857.0,39980927.0
3781,82,2020-11-29T00:00:00.000Z,Spongebob,Dante9k,QZFYZ2047242,-0.714285714285714,32023663.0,168,['2020-01-28T00:00:00.000Z'],3825842.0,5.0,9.0
3782,83,2020-11-29T00:00:00.000Z,Obviously,AyhTee,QZHNA1971359,4.85714285714286,27622738.0,28,['2019-12-01T00:00:00.000Z'],3442208.0,,
3783,84,2020-11-29T00:00:00.000Z,Whoopty,Real CJ,USA2P2031043,-0.428571428571429,31140457.0,56,"['2020-08-20T00:00:00.000Z', '2020-11-06T00:00:00.000Z']",,,
